param_MLP__max_iter,train acc,test acc
1,0.0,0.0
2,0.6311899482631189,0.4967532467532467
4,0.969932643566419,0.9267734553775744
8,0.9922692755011288,0.9371623542792152
16,0.9895384615384615,0.926605504587156
32,0.9895384615384615,0.926605504587156
64,0.9895384615384615,0.926605504587156
128,0.9895384615384615,0.926605504587156
256,0.9895384615384615,0.926605504587156
512,0.9895384615384615,0.926605504587156
1024,0.9895384615384615,0.926605504587156
2048,0.9895384615384615,0.926605504587156
2100,0.9895384615384615,0.926605504587156
2200,0.9895384615384615,0.926605504587156
2300,0.9895384615384615,0.926605504587156
2400,0.9895384615384615,0.926605504587156
2500,0.9895384615384615,0.926605504587156
2600,0.9895384615384615,0.926605504587156
2700,0.9895384615384615,0.926605504587156
2800,0.9895384615384615,0.926605504587156
2900,0.9895384615384615,0.926605504587156
3000,0.9895384615384615,0.926605504587156
