mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
1.2722298145294189,0.8250432524991783,0.01864142417907715,0.000401321840750153,relu,10.0,"(178,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 1e-06}",0.43732916829363533,0.40615384615384614,0.36792836792836786,0.4522536287242169,0.39641045649629336,0.4120150935192719,0.029938070705197283,2658,0.4051226903900675,0.40443702758417593,0.43180499129425426,0.4188807785888078,0.40787677909923964,0.41362445339130904,0.010467907526156874
0.6842343807220459,0.006801649871116421,0.012312984466552735,0.0013557041648359686,relu,10.0,"(178,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.001}",0.7744079767345243,0.7947669664758791,0.8064777327935222,0.8337939202526647,0.7937933850551246,0.800647996262343,0.019507685337665545,2203,0.8298294327647758,0.8384176343239519,0.8214963540105884,0.8210252823023884,0.8285175255684639,0.8278572457940336,0.006371561286887084
0.5662644386291504,0.00213278369126564,0.011390399932861329,0.0008005481199940526,relu,10.0,"(178,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.002}",0.7908121410992617,0.7582139848357202,0.7851546391752577,0.8248407643312101,0.8109412711182624,0.7939925601119424,0.022835064566166685,2211,0.836833284038253,0.8085708510208208,0.8092882382635033,0.8212714914034387,0.816539542352469,0.8185006814156969,0.010306099299283332
0.6726866245269776,0.09344355590104382,0.012638378143310546,0.0026174303576084372,relu,10.0,"(178,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.004}",0.7748344370860928,0.7646076794657763,0.7808105872622001,0.8025889967637541,0.7673060884070058,0.7780295577969658,0.01353697586096401,2242,0.8038083662513926,0.8089255201527793,0.79322656329695,0.8255606271085533,0.7885010266940453,0.8040044207007441,0.013003408228641202
0.7464837551116943,0.05501289280938588,0.009982442855834961,0.0005424624210579554,relu,10.0,"(178,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.008}",0.8209191759112521,0.7426875794828317,0.8077544426494346,0.8178913738019169,0.8111776447105787,0.8000860433112028,0.029077347979775757,2204,0.8359612182939967,0.8117104471626229,0.8145483613109512,0.8306054032735161,0.8143328996096487,0.821431665930147,0.009874611980414436
0.6860109806060791,0.1468187914084461,0.01097712516784668,0.0015156554415496474,relu,10.0,"(178,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.016}",0.6991655687307862,0.7306871532223644,0.7835390946502057,0.832807570977918,0.7987065481002427,0.7689811871363034,0.04797914262815384,2250,0.7564277468779516,0.7880889251478687,0.7788412061335803,0.805616850551655,0.7996762444354514,0.7857301946293014,0.017329896741433187
0.5713655948638916,0.008804664883249708,0.010833024978637695,0.0020646667366818624,relu,10.0,"(178,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.032}",0.6515013648771611,0.6809269162210339,0.7393526405451448,0.7222462203023757,0.7365294866355536,0.7061113257162539,0.03437175192812055,2343,0.6948853615520283,0.7092352877189164,0.7189457766256211,0.6786907147628591,0.7068833860586887,0.7017281053436226,0.013834214240137109
0.7925325870513916,0.4066296690736603,0.010107851028442383,0.0011650545570815254,relu,10.0,"(178,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.064}",0.33389734912577557,0.5178123432012042,0.4160857908847185,0.541501976284585,0.4486373165618449,0.4515869552116257,0.07428376598731898,2590,0.41953177257525087,0.5238690327418146,0.41182795698924735,0.5115166771554437,0.4626204740817921,0.4658731827087097,0.04588210988175703
0.7044497489929199,0.17201925628684706,0.009364891052246093,0.0008512965839446166,relu,10.0,"(178,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (178,), 'MLP__learning_rate_init': 0.128}",0.32272727272727275,0.30379746835443033,0.31908831908831914,0.47253886010362695,0.44374672946101523,0.37237972994693286,0.07089988372033175,2708,0.4227381905524419,0.32086474185748826,0.30437903804737976,0.4050222762251924,0.4188091114959371,0.3743626716356879,0.05102043837733362
0.7448140621185303,0.36181617623067713,0.00931563377380371,0.00046993519057445763,relu,10.0,"(89,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (89,), 'MLP__learning_rate_init': 1e-06}",0.6004169562195969,0.6343130553656868,0.5970567624386826,0.5859872611464967,0.5655123170296322,0.596657270440019,0.02243261104127348,2474,0.5973820609681104,0.5947039676255829,0.5942218730906869,0.6001912544553594,0.6052173913043479,0.5983433094888175,0.004045316979072551
