param_SVM__max_iter,train acc,test acc
1,0.7335351238399608,0.7477152122641509
2,0.7344669964968349,0.741855837264151
4,0.7347308862393216,0.7381952633647798
8,0.7347308862393216,0.7381952633647798
16,0.7347308862393216,0.7381952633647798
32,0.7347308862393216,0.7381952633647798
64,0.7347308862393216,0.7381952633647798
128,0.7347308862393216,0.7381952633647798
256,0.7347308862393216,0.7381952633647798
512,0.7347308862393216,0.7381952633647798
1024,0.7347308862393216,0.7381952633647798
2048,0.7347308862393216,0.7381952633647798
