mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.007781410217285156,0.0007025428871886947,0.0019585609436035155,0.00017295294562993144,1,{'SVM__max_iter': 1},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.5006107491856677,0.5001221498371335,0.00024429967426709
0.002750205993652344,0.0002363026375908274,0.0011727333068847657,5.796316069738868e-05,2,{'SVM__max_iter': 2},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.5004071661237784,0.5000814332247556,0.00016286644951137851
0.002707767486572266,0.00040184392790652384,0.0011204719543457032,5.517494275660712e-05,4,{'SVM__max_iter': 4},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5002035830618893,0.5,0.5004071661237784,0.5001221498371335,0.00016286644951138407
0.0026720046997070314,0.00010421716538501166,0.0011020183563232421,2.551029775273296e-05,8,{'SVM__max_iter': 8},0.5,0.500814332247557,0.5,0.5000000000000001,0.5000000000000001,0.5001629495870558,0.0003257952356066204,4,0.5,0.5006107491856677,0.5,0.5,0.5004071661237784,0.5002035830618892,0.00025751446744040434
0.004138660430908203,0.0006557990583436598,0.001358938217163086,0.00011994084006723917,16,{'SVM__max_iter': 16},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.5004071661237784,0.5000814332247556,0.00016286644951137851
0.0062619209289550785,0.0005607516302653212,0.001807403564453125,0.00010046330890842239,32,{'SVM__max_iter': 32},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.500814332247557,0.5001628664495115,0.0003257328990228015
0.009786176681518554,0.0008849226589127698,0.0024816036224365235,0.0001310782416241855,64,{'SVM__max_iter': 64},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.5004071661237784,0.5000814332247556,0.00016286644951137851
0.018656253814697266,0.0018395151193339751,0.004044389724731446,0.00020517675140621067,128,{'SVM__max_iter': 128},0.5,0.5,0.5,0.5000000000000001,0.5000000000000001,0.5,7.018978188466977e-17,6,0.5,0.5,0.5,0.5,0.5004071661237784,0.5000814332247556,0.00016286644951137851
0.03225617408752442,0.0006463160217685832,0.006534576416015625,0.00017514476130458574,256,{'SVM__max_iter': 256},0.5,0.5,0.500814332247557,0.5000000000000001,0.5000000000000001,0.5001629495870558,0.0003257952356066204,4,0.5002035830618893,0.5006107491856677,0.5004071661237786,0.5004071661237784,0.5004071661237784,0.5004071661237786,0.0001287572337201934
0.060579681396484376,0.0014423823828733288,0.01184530258178711,0.00028286719746610316,512,{'SVM__max_iter': 512},0.526058631921824,0.5278214217283004,0.5587660471354665,0.5426440259815354,0.5236156351791532,0.5357825057949775,0.0132777243972762,3,0.5293159609120521,0.5335912052117264,0.5637214983713356,0.5451954397394136,0.52442996742671,0.5392508143322475,0.014032412048166474
0.11825308799743653,0.0075211471039918305,0.01921110153198242,0.00039037803413629913,1024,{'SVM__max_iter': 1024},0.7957654723127036,0.7680302739988504,0.7965798045602606,0.810482238883642,0.8055962453983,0.7952842994069074,0.014711405202555239,1,0.9109657403937621,0.9121103696443843,0.915494412575788,0.9160716084680959,0.9050304505092275,0.9119345163182515,0.0039604032294765935
0.15561408996582032,0.005504879975332188,0.023757791519165038,0.0006951692899953302,2048,{'SVM__max_iter': 2048},0.7980264418470971,0.7810595899597624,0.7875742479402184,0.798946668465586,0.8022859125339705,0.7935749796437882,0.007965210928201077,2,0.911223372056153,0.9125445600684136,0.9139468209814264,0.9145511818011735,0.9091452869471774,0.9122822443708689,0.0019467621496811213
