param_SVM__max_iter,train acc,test acc
1,0.16104507977299495,0.13919095258808176
2,0.26017428802443626,0.26153287322920454
4,0.15908658420551855,0.13507290867229468
8,0.0967787311858208,0.11188811188811187
16,0.22579244463742942,0.21415991546319127
32,0.12614909749714825,0.08573784006595218
64,0.8333213022450011,0.8365860763180891
128,0.8060295447693699,0.8027277155382367
256,0.9742183214481624,0.9527493782812932
512,0.9666643371304773,0.9435781117096682
1024,0.965169953839698,0.9457013574660633
2048,0.9654593763110054,0.9457013574660633
