mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.08833155632019044,0.0014486255623664794,0.0009732246398925781,5.840252770806644e-05,1,{'Boost__n_estimators': 1},0.7248515041195632,0.7156255987737115,0.7547614485533628,0.7464005550951178,0.7215369196075787,0.7326345245090288,0.015181101955346955,12,0.8527085555331354,0.8862246932441652,0.8441124258933633,0.8185877032232687,0.8425763241594028,0.8488419404106671,0.02186031127081482
0.150894832611084,0.003044394907036613,0.0008068084716796875,4.6568464697420665e-05,2,{'Boost__n_estimators': 2},0.7248515041195632,0.7156255987737115,0.7547614485533628,0.7464005550951178,0.681962299789912,0.7247256609773205,0.025621180438484707,13,0.8527085555331354,0.8862246932441652,0.8441124258933633,0.8185877032232687,0.8657287254201187,0.8534724206628101,0.022485839403519982
0.40111403465270995,0.006582899857384418,0.0011320114135742188,4.534919425578524e-05,5,{'Boost__n_estimators': 5},0.7360701283770837,0.7645334355240468,0.7829948265951331,0.7933860802189542,0.7265867432492339,0.7607146143248245,0.025881808066428074,11,0.9646972557723905,0.9590509786399929,0.9403027202060092,0.929113217367944,0.9678377739826244,0.9522003891937922,0.014981335610263677
0.6490902423858642,0.05968552420253578,0.0013615608215332032,7.343762865714714e-05,10,{'Boost__n_estimators': 10},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.6478291988372803,0.05958160731279021,0.001354551315307617,0.00015077833732276446,20,{'Boost__n_estimators': 20},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.6491089344024659,0.059396100492744845,0.0013101577758789062,9.037107090410486e-05,30,{'Boost__n_estimators': 30},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.6497886180877686,0.06150321157887987,0.0012936592102050781,0.00010567113803267078,40,{'Boost__n_estimators': 40},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.6535040855407714,0.061364143912291516,0.0012767314910888672,8.514754974328697e-05,50,{'Boost__n_estimators': 50},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.6594956398010254,0.06210909039317292,0.0013135910034179688,8.575099318095134e-05,60,{'Boost__n_estimators': 60},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.68905668258667,0.07674227993205508,0.001397562026977539,7.519245737363535e-05,70,{'Boost__n_estimators': 70},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.7161362171173096,0.0659728037154281,0.0014195919036865234,7.412715442094e-05,80,{'Boost__n_estimators': 80},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.7153249740600586,0.0681732684664833,0.0014109611511230469,7.796819767881458e-05,90,{'Boost__n_estimators': 90},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
0.7053231716156005,0.06181419953185115,0.0013733863830566405,7.539918865297993e-05,100,{'Boost__n_estimators': 100},0.7360701283770837,0.7694194290093889,0.7823146196589386,0.797973324595725,0.7387198118844325,0.7648977030800321,0.024221188602373527,1,0.9646972557723905,0.964751304372892,0.9669865142736348,0.9551808441231358,0.9691849001933288,0.9641601637470764,0.0047854431277637305
