mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.005545711517333985,0.0002809265630437394,0.0018247127532958984,7.750967105519308e-05,1,{'SVM__max_iter': 1},0.6100689787315577,0.6007472695918759,0.6187679632113431,0.5967031590308963,0.5082493302237727,0.5869249160106358,0.04005551744303967,8,0.5964653416351984,0.6000445600684136,0.6281528350292583,0.6035629134625071,0.49349043909178575,0.5843432178574326,0.04676833265670913
0.0022542476654052734,0.000304745094553314,0.0010262012481689453,5.30551573572178e-05,2,{'SVM__max_iter': 2},0.6152711247365397,0.6178482467905729,0.638608928913585,0.5330021394291,0.4478779176223425,0.5705625503360864,0.07116084191614774,11,0.6131237208497882,0.6184210842389476,0.6203410106367646,0.5154045516255463,0.44982052309153625,0.5634221780885166,0.06920390884688554
0.0021697998046875,0.00042991841272586943,0.0010399818420410156,7.17344413316299e-05,4,{'SVM__max_iter': 4},0.59711630580571,0.6165453151944816,0.6129047710289327,0.5379170441184972,0.5418441493360061,0.5812866426303496,0.03443466865430458,9,0.5753431485591844,0.6055389005794011,0.6228921045804386,0.5536176020493828,0.5414913673585892,0.5797766246253993,0.030634459584695194
0.0024118423461914062,0.000301218149838252,0.0010271072387695312,2.2971973431470735e-05,8,{'SVM__max_iter': 8},0.6112856869132017,0.6315194481701476,0.6145813374209619,0.5413044735269741,0.6212921380799106,0.6040082035047398,0.032091571594377186,6,0.5991743776003382,0.6481520182948507,0.6264983473139046,0.5123951802084883,0.6467456093220054,0.6065931065479174,0.05032667702205386
0.0034203529357910156,0.00012533626380369838,0.0012791156768798828,0.0001323965654722299,16,{'SVM__max_iter': 16},0.6092067445870857,0.5640831576930446,0.5915501053841732,0.536283561089374,0.5761569300156121,0.5754659189749919,0.024746917830676663,10,0.6161816705581659,0.594479956376774,0.6222459235344421,0.5454278062680796,0.6045067713105593,0.5965684256096042,0.027301118145348555
0.006112289428710937,0.0007636993527947368,0.0017560958862304688,0.0001069554993431736,32,{'SVM__max_iter': 32},0.6619275723318643,0.5975282621191799,0.5899310212684422,0.43215504115028036,0.5380712372067923,0.5639628562628038,0.0767251536916901,12,0.6317927080030363,0.6108284569484881,0.6043552362284166,0.4236812374971816,0.578955747818453,0.5699226772991152,0.0750399089828831
0.009960460662841796,0.0002267201685820768,0.0025309085845947265,6.336851880037336e-05,64,{'SVM__max_iter': 64},0.5436482084690554,0.6120616976432266,0.6241904579421345,0.6738189773143418,0.6168976350635083,0.6141074509725675,0.04157754371268729,5,0.5727644297752539,0.6376281552371893,0.6373849365349322,0.6748607599794678,0.6562786335528872,0.6357833830159461,0.03442224080647906
0.019330549240112304,0.0010109355688861148,0.0042498111724853516,0.00014371044499625604,128,{'SVM__max_iter': 128},0.6497030082391263,0.6346426518490133,0.6258095420578655,0.6658635776651312,0.6909440471830849,0.6533797980445689,0.02319918256351913,2,0.6426078329634006,0.6663039405033006,0.5731223516185754,0.6501408590905383,0.6834466282567292,0.6431243224865087,0.037717257341354206
0.0391179084777832,0.0018274429184714177,0.0076006889343261715,0.00015614248081469279,256,{'SVM__max_iter': 256},0.4445008622341445,0.5050488599348534,0.6344127227438207,0.6813888942428155,0.6696075785902896,0.5869466041449646,0.09487477578266358,7,0.4479632085170986,0.5157930010665591,0.6509151028604921,0.6944922836322817,0.6847898567063078,0.5987906905565479,0.09890313610068784
0.07720799446105957,0.002960203009628035,0.015139389038085937,0.001068004527911319,512,{'SVM__max_iter': 512},0.6977486108449894,0.6955355432075112,0.661007855911094,0.6900767110614265,0.7281864965402925,0.6945035802357336,0.021388733782060642,1,0.7369412575788148,0.7571974719667924,0.7243773601222219,0.7526306889322772,0.7553983991595228,0.7453090355519258,0.012687722657123257
0.10928215980529785,0.002874758731248103,0.018565940856933593,0.0004955524150238165,1024,{'SVM__max_iter': 1024},0.657242766813566,0.665433991186051,0.6271986970684039,0.6227666094867297,0.606643794691903,0.6358679691794787,0.02205365432660249,3,0.6654367607352532,0.6749967570839699,0.6659436164999568,0.6621807433810019,0.6737289101140305,0.6684573575628424,0.005007829815611171
0.11704492568969727,0.0074427438262036445,0.019174957275390626,0.0007532774935858779,2048,{'SVM__max_iter': 2048},0.6513604138723893,0.6624928147154628,0.6301398735389923,0.6257251893683864,0.606643794691903,0.6352821609460573,0.019680905635688976,4,0.6621566112248134,0.6735218308302826,0.6644686902462694,0.6572296872676334,0.6761416242510303,0.6667036887640059,0.0070850479796279115
