,train,test
0.1,0.006350999999999907,0.000419800000000059
0.2,0.01045979999999993,0.00037000000000002585
0.3,0.01629139999999989,0.0003691999999997364
0.4,0.021889000000000002,0.00036639999999987793
0.5,0.024445799999999983,0.00027999999999988033
0.6,0.029236799999999973,0.0002740000000001075
0.7,0.03979560000000006,0.00021419999999992002
0.8,0.040995399999999904,0.00017580000000005924
0.9,0.049404,0.00014879999999983795
