param_Boost__n_estimators,train acc,test acc
1,0.8836983744084568,0.7614116548742138
2,0.8836983744084568,0.7614116548742138
5,0.9397782096982362,0.7596427869496855
10,0.953632229119292,0.7867285770440252
20,0.953632229119292,0.7867285770440252
30,0.953632229119292,0.7867285770440252
40,0.953632229119292,0.7867285770440252
50,0.953632229119292,0.7867285770440252
60,0.953632229119292,0.7867285770440252
70,0.953632229119292,0.7867285770440252
80,0.953632229119292,0.7867285770440252
90,0.953632229119292,0.7867285770440252
100,0.953632229119292,0.7867285770440252
