,0,1,2,3,4
156,0.4999999999999999,0.5,0.5,0.5,0.5
164,0.5000000000000001,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
172,0.49999999999999983,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
180,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
188,0.49999999999999994,0.5,0.5,0.5,0.5
195,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
203,0.5000000000000001,0.5,0.5,0.5,0.5
211,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
219,0.5000000000000001,0.5,0.5,0.5,0.5
227,0.5000000000000001,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
235,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
242,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
250,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
258,0.5000000000000001,0.5,0.5,0.5,0.5
266,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
274,0.5,0.5,0.5,0.5,0.5
282,0.5,0.5,0.5,0.5,0.5
289,0.5,0.5,0.5,0.5,0.5
297,0.5,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.4999999999999999
305,0.5,0.5,0.5,0.5,0.5
313,0.5000000000000001,0.5,0.5,0.5,0.5
461,0.5,0.49999999999999994,0.49999999999999994,0.49999999999999994,0.49999999999999994
610,0.5,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
758,0.5,0.5,0.5,0.5,0.5
907,0.5,0.49999999999999994,0.5000000000000002,0.5000000000000002,0.5000000000000002
1055,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001,0.5000000000000001
1204,0.4999999999999999,0.5,0.5,0.5,0.5
1352,0.5,0.5,0.5,0.5,0.5
1501,0.49999999999999983,0.49999999999999994,0.5000000000000001,0.5000000000000001,0.5000000000000001
1649,0.5,0.5000000000000001,0.5000000000000001,0.5,0.5
1797,0.49999999999999994,0.5,0.5,0.5000000000000001,0.5000000000000001
1946,0.5000000000000001,0.5,0.5,0.5000000000000002,0.5000000000000002
2094,0.5,0.5,0.5000000000000001,0.5,0.5
2243,0.5,0.5,0.5,0.5000000000000001,0.5000000000000001
2391,0.4999999999999999,0.4999999999999999,0.49999999999999983,0.5,0.5
2540,0.4999999999999999,0.4999999999999999,0.4999999999999999,0.5,0.5
2688,0.5,0.5,0.5000000000000002,0.5000000000000002,0.5
2837,0.4999999999999998,0.4999999999999998,0.49999999999999983,0.5,0.49999999999999983
2985,0.5,0.5,0.5,0.5,0.5000000000000001
3134,0.5,0.5,0.5,0.5,0.5
