param_Boost__n_estimators,train acc,test acc
1,0.8297688371950095,0.7478134827044026
2,0.8297688371950095,0.7478134827044026
5,0.8374254809169689,0.7475063875786164
10,0.8498528824288613,0.7462043042452831
20,0.8498528824288613,0.7462043042452831
30,0.8498528824288613,0.7462043042452831
40,0.8498528824288613,0.7462043042452831
50,0.8498528824288613,0.7462043042452831
60,0.8498528824288613,0.7462043042452831
70,0.8498528824288613,0.7462043042452831
80,0.8498528824288613,0.7462043042452831
90,0.8498528824288613,0.7462043042452831
100,0.8498528824288613,0.7462043042452831
