mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__activation,param_MLP__alpha,param_MLP__hidden_layer_sizes,param_MLP__learning_rate_init,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.02591853141784668,0.0004353045450921463,0.0012828350067138673,0.00012461367107552323,relu,10.0,"(11,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 1e-06}",0.42820463690362137,0.40495305614102317,0.4315960912052117,0.4808463273133781,0.47663974712333523,0.4444304653230816,0.02949312325290113,3382,0.4497666301538343,0.4521597820760428,0.44562230357537497,0.4363567566789636,0.43797252857958385,0.4443756002127599,0.0062691648301774405
0.10295124053955078,0.011637275858570292,0.0009081840515136718,8.699663631707567e-05,relu,10.0,"(11,)",0.001,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.001}",0.4831289519064955,0.5,0.499185667752443,0.5051028275157564,0.4951140065146579,0.49650445198019966,0.007405677793070211,3318,0.4946672047505117,0.4993892508143322,0.4997964169381107,0.49816775244299677,0.49882617424551334,0.49816935983829297,0.0018347722914636364
0.06729893684387207,0.0018500729582107802,0.000974273681640625,0.00015310784502089468,relu,10.0,"(11,)",0.002,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.002}",0.499185667752443,0.5,0.499185667752443,0.49999999999999983,0.49918566775244294,0.4995113590826936,0.0003989312100755839,3241,0.4997964169381107,0.4993892508143322,0.4997964169381107,0.499185667752443,0.499185667752443,0.49947068403908784,0.0002761535009415712
0.04159045219421387,0.002600637992814712,0.0009346961975097656,9.25589441779855e-05,relu,10.0,"(11,)",0.004,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.004}",0.499185667752443,0.5,0.499185667752443,0.5013299153865426,0.49755700325732893,0.4994516550112256,0.0012291886588771642,3242,0.4997964169381107,0.4995928338762215,0.4997964169381107,0.49776058631921827,0.49964050649307035,0.49931735211294626,0.0007826678612581296
0.030180978775024413,0.0028145022388750256,0.0008722305297851563,9.098842674547409e-05,relu,10.0,"(11,)",0.008,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.008}",0.5,0.499185667752443,0.5,0.5029585798816566,0.49918566775244294,0.5002655715710606,0.001394270855395875,1889,0.5,0.4995928338762215,0.5,0.4993892508143323,0.49992204477747987,0.49978082589360673,0.00024685598728745343
0.02313547134399414,0.0007296883621236014,0.000923776626586914,0.00012934532908562502,relu,10.0,"(11,)",0.016,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.016}",0.499185667752443,0.5,0.499185667752443,0.5029585798816566,0.49918566775244294,0.5001026219840048,0.0014617398227545477,1890,0.4997195478173974,0.5001267139411758,0.500583724885417,0.4993892508143323,0.5001256278393691,0.49998897305953827,0.0004058653831527363
0.022508859634399414,0.0016111710737827523,0.0008299827575683593,7.319433293027538e-05,relu,10.0,"(11,)",0.032,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.032}",0.5,0.5,0.5,0.49999999999999983,0.49999999999999994,0.5,7.847456181000246e-17,1911,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.021863985061645507,0.0007850548470873637,0.0007777214050292969,3.2461020071873444e-05,relu,10.0,"(11,)",0.064,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.064}",0.5,0.5,0.5,0.49999999999999983,0.49999999999999994,0.5,7.847456181000246e-17,1911,0.5,0.5,0.5,0.5,0.5,0.5,0.0
0.04037766456604004,0.009083680641245978,0.0008640289306640625,8.396071988716979e-05,relu,10.0,"(11,)",0.128,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (11,), 'MLP__learning_rate_init': 0.128}",0.5359743245832534,0.5,0.5415405250047902,0.5322456295896536,0.5177514792899408,0.5255026488845709,0.014988271652657351,1689,0.5505234306688574,0.5,0.5553553755536978,0.5361778194605019,0.5094949461029585,0.5303103143572032,0.022010213490532785
0.0229398250579834,0.0009447123073857477,0.000892019271850586,0.00020367822223241403,relu,10.0,"(5,)",1e-06,"{'MLP__activation': 'relu', 'MLP__alpha': 10.0, 'MLP__hidden_layer_sizes': (5,), 'MLP__learning_rate_init': 1e-06}",0.4237018585936003,0.43533243916459086,0.4703966277064572,0.45514908544224497,0.44078985409479027,0.44507249495196094,0.016206667195774547,3361,0.45126137422770557,0.4498362927944808,0.43770238198187816,0.4414052568204823,0.4444287201431498,0.4449268051935393,0.005080777809643054
