param_Boost__n_estimators,train acc,test acc
1,0.8738738738738738,0.8634308109737714
2,0.8738738738738738,0.8634308109737714
5,0.9377771420397655,0.9076023391812866
10,0.9665065106886707,0.9243119266055045
20,0.9779735682819383,0.9309754706217911
30,0.9779735682819383,0.9309754706217911
40,0.9779735682819383,0.9309754706217911
50,0.9779735682819383,0.9309754706217911
60,0.9779735682819383,0.9309754706217911
70,0.9779735682819383,0.9309754706217911
80,0.9779735682819383,0.9309754706217911
90,0.9779735682819383,0.9309754706217911
100,0.9779735682819383,0.9309754706217911
