mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_MLP__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.3287517547607422,0.02059458181321499,0.032731246948242185,0.0018426655746668322,1,{'MLP__max_iter': 1},0.0,0.0,0.0,0.0,0.0,0.0,0.0,22,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5441551685333252,0.0033862216881998383,0.027929210662841798,0.0020092615475517475,2,{'MLP__max_iter': 2},0.1599000624609619,0.0,0.0883116883116883,0.0,0.5030181086519114,0.15024597188491232,0.1862927489522967,21,0.24336415150611396,0.0,0.16227180527383367,0.0,0.5836705546298501,0.19786130228195953,0.21470169569124123
0.9422630310058594,0.006101065334947308,0.023623132705688478,0.002103970108140954,4,{'MLP__max_iter': 4},0.886236478925774,0.8668447157573446,0.9113553113553113,0.9342857142857144,0.9211946743432889,0.9039833789334867,0.024343534531817635,20,0.9485997873094647,0.9285455204932899,0.9441037945436773,0.9544696903237125,0.9526653201018705,0.945676822554403,0.009280660234816078
1.8955062866210937,0.00675541887642698,0.02493624687194824,0.0024081045572821934,8,{'MLP__max_iter': 8},0.9320388349514565,0.9421780773323873,0.9395017793594306,0.9734151329243355,0.9610921501706484,0.9496451949476514,0.015262197567086251,1,0.9875525796205682,0.9931647300068353,0.991138377641445,0.9916009162636803,0.9894184373148226,0.9905750081694702,0.0019260977259569416
3.68324236869812,0.00553717425048479,0.023816442489624022,0.0017438966988115208,16,{'MLP__max_iter': 16},0.9346195069667739,0.9356223175965664,0.8862003780718337,0.9465108041091038,0.9376558603491272,0.9281217734186812,0.021377265285268406,19,0.995828011919966,0.997020515876394,0.9717079986028642,0.9967637540453076,0.9940222032450897,0.9910684967379243,0.00973723515745856
4.032044076919556,0.31768647616788326,0.0234346866607666,0.0009154089389171063,32,{'MLP__max_iter': 32},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.007356452941894,0.29760257922226785,0.02313828468322754,0.001636594767660784,64,{'MLP__max_iter': 64},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
3.9671367168426515,0.31164219380065544,0.022214221954345702,0.0005389640302137542,128,{'MLP__max_iter': 128},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
3.9691694259643553,0.3097234833063313,0.02236514091491699,0.0008675341185219227,256,{'MLP__max_iter': 256},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.023170232772827,0.3171328389077093,0.022126054763793944,0.0010818852622877105,512,{'MLP__max_iter': 512},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.066667270660401,0.3206210207647006,0.022868919372558593,0.0010078562807651393,1024,{'MLP__max_iter': 1024},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.112377405166626,0.3185970013207088,0.021892213821411134,0.0007111417489851432,2048,{'MLP__max_iter': 2048},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.059685850143433,0.30913899008584794,0.02291693687438965,0.0008207075458645606,2100,{'MLP__max_iter': 2100},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.111222267150879,0.31307685156644866,0.022413969039916992,0.00036765672476335475,2200,{'MLP__max_iter': 2200},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
4.097669982910157,0.3061007078860728,0.02239518165588379,0.001613681854752846,2300,{'MLP__max_iter': 2300},0.9485834207764953,0.8987764182424917,0.9546406140963014,0.9465108041091038,0.931761343336906,0.9360545201122598,0.02009894704852875,2,0.997621474685695,0.9888488591525133,0.9895789206134034,0.9967637540453076,0.9930798803929944,0.9931785777779828,0.0035862670857702795
