mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.17963819503784179,0.011433545158687736,0.009355974197387696,0.0008954321893344619,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.48255234297108673,0.5086249383932973,0.47944526993561165,0.47604639435199186,0.47433981066268055,0.48420175126293363,0.012534787199493264,197,0.5075290051839052,0.5229906086108062,0.5407745970651913,0.5278149726110773,0.5259819468162966,0.5250182260574554,0.010648923472289745
0.19446392059326173,0.010100579902638487,0.005999994277954101,0.0010656251833432598,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.7004909983633387,0.7475728155339806,0.7404489956675857,0.7362549800796813,0.7645906776341559,0.7378716934557484,0.021045609991282983,193,0.7467310400321867,0.7601593625498007,0.780468976165203,0.7737397420867527,0.7730230723723132,0.7668244386412513,0.012004880616527049
0.2589583873748779,0.0016798130063515136,0.004591464996337891,0.0007509617708348701,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.7687048993543487,0.7978601452044326,0.8008898776418243,0.7362549800796813,0.7645906776341559,0.7736601159828885,0.023803589687526792,190,0.8119738072965388,0.8187200451085425,0.834750800182899,0.7737397420867527,0.7730230723723132,0.8024414934094091,0.024855508777536884
0.3078761577606201,0.007829748168648018,0.004265975952148437,0.0009538268491833162,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.8292859731786879,0.8322147651006712,0.8183206106870229,0.8421052631578949,0.736359850062474,0.8116572924373502,0.03840459250213854,184,0.8564195298372512,0.8609114891294459,0.8624176639762501,0.8792127492815466,0.7627639942587656,0.8443450852966519,0.04151646529689371
0.36829028129577634,0.0018152112568077194,0.004777383804321289,0.0014632003740612466,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.838543582199338,0.8589226823012092,0.8384673178061608,0.8528660094925155,0.7461824184894758,0.8269964020577398,0.04119306537881221,182,0.8778378378378379,0.8879333512496641,0.8808479532163742,0.8938148015731141,0.7743245988218566,0.8629517085397694,0.04466150463212005
0.4228187561035156,0.007918902173940279,0.004262590408325195,0.0009627688285007851,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.8553823849220731,0.8795660036166365,0.8293605751040484,0.8495575221238938,0.8338368580060422,0.8495406687545388,0.017829708450596442,172,0.9057926562089212,0.9052986598029644,0.8841797588600657,0.8957695769576958,0.8820399926618969,0.8946161288983088,0.010074112307210215
0.4773403644561768,0.0073075682397904995,0.0044782161712646484,0.0012572693382393147,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.85,0.8782260996001454,0.8591601635079896,0.8520888219796764,0.853882959146117,0.8586716088467857,0.010237947481457094,169,0.9128747795414461,0.9112488928255092,0.9190301512033641,0.8988187894881421,0.9217176179537022,0.9127380462024328,0.00795242447865137
0.5320070743560791,0.011452967913527692,0.005854034423828125,0.00077909887021208,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.864,0.8778709442216551,0.8711701734957549,0.8615840118430792,0.8584070796460176,0.8666064418413013,0.007028008865381911,162,0.9233753637245392,0.9133297739811354,0.9298853639029594,0.9249131557851606,0.9403545541874072,0.9263716423162404,0.008821148018443364
0.6117852210998536,0.009075055892899447,0.006517362594604492,0.0008132125422169911,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.8636859323882226,0.8775510204081634,0.8781204111600587,0.8666175386882828,0.8625730994152047,0.8697096004119863,0.00676763878523531,122,0.9285839620986138,0.9323730897593537,0.9343479030260131,0.9284195605953225,0.9338684348281278,0.9315185900614862,0.002548449604164536
0.6547944068908691,0.018115759171936648,0.005549764633178711,0.0005536970293580639,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.8703170028818444,0.883737776168055,0.8774761555392517,0.8608534322820037,0.8549394050679399,0.869464754387819,0.010523959976344028,123,0.9405246299021729,0.932562620423892,0.9335930582610235,0.9371912491178546,0.93583587952859,0.9359414874467067,0.00281105368259552
0.6910914421081543,0.021121823170078362,0.006512928009033203,0.0003802717411696853,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.864081188836535,0.883417813178856,0.8762322015334063,0.867576540022132,0.8403860430586488,0.8663387573259157,0.014627005752649991,163,0.940931924476009,0.9331696193650237,0.9418767507002802,0.9459577822545328,0.9445649345016048,0.9413002022594901,0.0044480544703745985
0.7247275829315185,0.017777156890459608,0.005747032165527344,0.0009009976006164442,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.8696904247660188,0.8869628024557603,0.8797953964194374,0.870648589226823,0.8572477064220183,0.8728689838580115,0.010056526364397392,118,0.9452727742825132,0.9350104821802935,0.9430351970508207,0.944138473642801,0.9399913156752063,0.941489648566327,0.003686234748321615
