mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.18650522232055664,0.05004922924802333,4.238334465026855,0.06950015020563564,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.8236233040702314,0.8160642570281124,0.8406139315230223,0.8596830305373019,0.8353033884948778,0.8350575823307091,0.015025546657483985,2,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.1261436939239502,0.03621311761761491,4.2056859016418455,0.11392379048813016,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.7129750982961992,0.6639455782312925,0.6903914590747331,0.7219088937093274,0.7126637554585152,0.7003769569540136,0.02097740883301936,7,0.7834710743801653,0.7784232365145228,0.7752937506498908,0.7634645669291339,0.7702589807852966,0.7741823218518019,0.0068667959106031495
0.14779648780822754,0.013204487860133236,4.143801689147949,0.1859191280429132,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.6993377483443709,0.6780269058295965,0.7152202354993459,0.7285282693137679,0.7304048234280792,0.7103035964830321,0.01960819190358023,6,0.7601809954751131,0.76010101010101,0.7662514393384277,0.7532000423146091,0.7522236340533672,0.7583914242565054,0.005155524579532502
0.14331226348876952,0.014676497066279527,4.18161301612854,0.15042522824519572,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6342141863699582,0.6217228464419475,0.6445672191528545,0.6687754179846362,0.6777229941730165,0.6494005328244825,0.020964676744388403,10,0.6977669688260004,0.6929902395740906,0.6982653850403271,0.6913251138509385,0.6837224891073622,0.6928140392797437,0.0052754698692119096
0.16558413505554198,0.0484459797583534,4.153120803833008,0.1446045188635919,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.6417704011065007,0.6291298278268962,0.6370370370370371,0.666364870982345,0.6705723298783235,0.6489748933662205,0.016474855593299104,11,0.6902379364020458,0.6818029303209932,0.6940720221606648,0.6812891674127126,0.6784071789119462,0.6851618470416725,0.005950855643239274
0.15177903175354004,0.02519071099433378,4.152879047393799,0.14425099368619942,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.6031294452347084,0.5843344545891399,0.5980952380952381,0.6214319138979878,0.615962441314554,0.6045906986263256,0.013172583308320305,15,0.6306243460062784,0.6399630612951633,0.6398891966759003,0.6292030250145434,0.6356265925411165,0.6350612443066004,0.0045091318964317825
0.14900388717651367,0.008934778184264297,4.174059152603149,0.046028471770104856,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.6031294452347084,0.5897558640497846,0.5791505791505791,0.6214319138979878,0.6182669789227166,0.6023469562511552,0.01621667371978207,16,0.6304777403231431,0.6361847436045838,0.635479388605836,0.6233644859813084,0.6299139334729006,0.6310840583975544,0.004618755881346406
0.157609224319458,0.02106812704363475,4.119682645797729,0.05773658639614234,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.5509099852434826,0.5279999999999999,0.5425742574257426,0.6057737813535258,0.5783132530120482,0.5611142554069599,0.027693650327329462,20,0.5809948211489823,0.5884749011620941,0.5822206183086732,0.574815531631789,0.5871911729431518,0.5827394090389382,0.004874723287423852
0.14437718391418458,0.006392589298811252,4.128165435791016,0.09795145995454918,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.5451851851851852,0.5250501002004009,0.5338645418326694,0.6004750593824228,0.5700436257876879,0.5549237024776733,0.027328729483506627,21,0.5741951101428225,0.579556412729026,0.5760541258910233,0.5664233576642336,0.5796961659030625,0.5751850344660336,0.004857190653251927
0.14768762588500978,0.007229786101571811,4.152441596984863,0.10458353760899755,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.4946346448645887,0.5010183299389002,0.5010183299389002,0.5705967976710334,0.5362462760675273,0.5207028756961899,0.02893273608619405,26,0.537439463553955,0.545903257650543,0.545970628162409,0.5285375296615462,0.5431610190452634,0.5402023796147434,0.0066064919368164525
0.14883742332458497,0.009630352736342431,4.128857088088989,0.044847242571676105,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.4884556182657773,0.49795918367346936,0.5070993914807302,0.5625,0.5330681253107906,0.5178164637461535,0.026834522726446586,27,0.527868032991752,0.5430938543341165,0.5407948495728612,0.5158690176322418,0.5315382697581651,0.5318328048578272,0.009775256009337267
