,train,test
0.1,0.0040840000000571305,0.0016990000000987493
0.2,0.007714200000100391,0.001748599999882572
0.3,0.010515200000190817,0.001686399999925925
0.4,0.012897799999973359,0.0014106000001447682
0.5,0.015052599999944506,0.0012810000000172295
0.6,0.018012799999996786,0.0012561999998979446
0.7,0.02059399999989182,0.0010270000000673462
0.8,0.022570400000040534,0.0008885999999620253
0.9,0.027124000000003434,0.0007704000000558153
