param_SVM__max_iter,train acc,test acc
1,0.6030118769590068,0.6037735849056602
2,0.6133796324749555,0.6555129716981133
4,0.6047254317497389,0.6100874606918238
8,0.5600931104418907,0.56929294418239
16,0.6500249677340054,0.6930768474842768
32,0.6245559584536907,0.6680178852201257
64,0.6758097228197407,0.6968971108490566
128,0.6396841005469854,0.6811861242138365
256,0.6691341189846969,0.6668877751572329
512,0.7070697099133428,0.698862519654088
1024,0.673268775735972,0.6729682586477987
2048,0.6657665478458608,0.6719118514150942
