param_SVM__max_iter,train acc,test acc
1,0.5462383227828653,0.6205778301886792
2,0.5399956210435746,0.5579795597484277
4,0.5737508450617664,0.6635834316037736
8,0.688405752565915,0.5039676690251572
16,0.6337790393952433,0.6150501179245284
32,0.5546432302870138,0.6028645833333333
64,0.5958261631122858,0.6131952633647798
128,0.595904523385164,0.6105910966981133
256,0.596393122733698,0.6071761988993711
512,0.5961292329912115,0.6065251572327044
1024,0.5962920994407229,0.6065251572327044
2048,0.5964549658902343,0.6065251572327044
