mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_SVM__max_iter,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.007109785079956054,0.0009855343659846336,0.0019304275512695313,0.00017576151675402154,1,{'SVM__max_iter': 1},0.6062655681164975,0.5026825062272466,0.5062080858401993,0.5590607713509241,0.5589258523986662,0.5466222450179022,0.038550816851224065,12,0.6086490972682637,0.5085685047995158,0.5011109990103101,0.5333108662384326,0.5740235808551569,0.5451326096343359,0.040702879506631595
0.0036956310272216798,0.00039744031306217014,0.0008569717407226563,0.00011302817080303135,2,{'SVM__max_iter': 2},0.6779459666602796,0.6297470779842882,0.6088905920674458,0.5554516893780235,0.6284091128115181,0.6201032616887774,0.039526914596480604,2,0.67882219691947,0.6450051886656482,0.6581486072276191,0.5637922577271616,0.6611595299659876,0.6413855561011773,0.04026744018110059
0.0033246517181396485,0.0003176922905508777,0.0007738590240478516,5.525787654119298e-05,4,{'SVM__max_iter': 4},0.580503927955547,0.6332726575972408,0.5037746694769113,0.5568056974346124,0.6034105583717209,0.5755511771923539,0.04390713836211786,11,0.5689930385402554,0.6493657096461137,0.48433791665465586,0.535984430543096,0.6165871323511776,0.5710536455470596,0.0582405209172561
0.004294157028198242,0.00036003898999836624,0.000727987289428711,2.8978441996896097e-05,8,{'SVM__max_iter': 8},0.5882831960145622,0.6548093504502779,0.6655010538417321,0.6360079409440471,0.6522608561571228,0.6393700486908037,0.027240452502199197,1,0.5680375793913887,0.6869348918547556,0.691155487013923,0.6666091996757063,0.6315509371417058,0.648857619015496,0.045575227925588234
0.006585073471069336,0.0002974904600793882,0.0008864879608154296,0.00015897184475133073,16,{'SVM__max_iter': 16},0.562176662195823,0.5014945391837518,0.6145334355240468,0.6747152246400555,0.5569165237168243,0.5819499985441237,0.05857437156849927,10,0.5490130725548413,0.5015205672941109,0.6333288893372921,0.6886870181767593,0.584766410173996,0.5914631915073999,0.06502575529235197
0.009993505477905274,0.0007140391875777089,0.0008290767669677735,2.5497013901244817e-05,32,{'SVM__max_iter': 32},0.63412531136233,0.5220827744778693,0.5656639202912436,0.5956238074128326,0.6132933716246168,0.5861484951488959,0.03912872734005328,9,0.6386406656865854,0.5313992341913849,0.5817875433589883,0.5861000441346491,0.6176302331940534,0.5911115441131323,0.036441378531562374
0.01824336051940918,0.0012987468938353277,0.0008780479431152344,8.725304383063163e-05,64,{'SVM__max_iter': 64},0.6211822188158651,0.5730791339337039,0.576384364820847,0.6090048763564172,0.5561311026733226,0.5871586815098245,0.024131043549228747,8,0.6168056316239562,0.5825874626464117,0.6007165643346497,0.6058437033767804,0.5633805941866993,0.5938667912336995,0.018831822419701095
0.030794048309326173,0.0008313073577378496,0.0008846759796142578,9.462948438253253e-05,128,{'SVM__max_iter': 128},0.6113144280513508,0.596790572906687,0.5819505652423836,0.6055307133357746,0.576542412736349,0.5944274685083214,0.013337710498568073,3,0.5891976064877538,0.6039426652445878,0.606715958990324,0.5975702556451574,0.5980077043746073,0.5990868381484861,0.006050520583182267
0.05695552825927734,0.0021635381334124074,0.0010510921478271485,0.0001826965713622006,256,{'SVM__max_iter': 256},0.6126269400268252,0.5887813757424794,0.5760682123012071,0.6079737100784456,0.5832739047472196,0.5937438694272019,0.014183435195888997,4,0.5905956636207278,0.5977895323474868,0.6073267081759919,0.5966605781639026,0.5964093224851647,0.5977563609586547,0.005401545800030971
0.09666447639465332,0.014998885971182362,0.0007857799530029297,6.848590180997178e-05,512,{'SVM__max_iter': 512},0.6096857635562369,0.5866545315194481,0.5760682123012071,0.6050151301967889,0.5773567449839061,0.5909559591755915,0.013953927627430614,5,0.589858200493884,0.5973325214032458,0.6052410327366368,0.5941222361875339,0.5926018095206114,0.5958311600683824,0.005288197450173324
0.1445702075958252,0.004990978244939362,0.0006370067596435547,4.0537721439147126e-05,1024,{'SVM__max_iter': 1024},0.6067445870856487,0.5866545315194481,0.5760682123012071,0.6066437946919028,0.5773567449839061,0.5906929070946147,0.013565018765152582,6,0.5896546174319949,0.5977396875270242,0.606385661987259,0.5937150700637553,0.5926018095206114,0.5960193693061291,0.005795154787186926
0.28555521965026853,0.08332561883029628,0.0006997585296630859,0.00014108869404822594,2048,{'SVM__max_iter': 2048},0.6067445870856487,0.5866545315194481,0.5760682123012071,0.6066437946919028,0.5773567449839061,0.5906929070946147,0.013565018765152582,6,0.5896546174319949,0.5977396875270242,0.606385661987259,0.5944514470887922,0.5926018095206114,0.5961666447111365,0.005743852886240942
