param_MLP__max_iter,train acc,test acc
1,0.8367893488407682,0.8208307501549906
2,0.8811784939804083,0.8647342995169082
4,0.9214202561117578,0.8967971530249109
8,0.9497016197783461,0.9122807017543859
16,0.9761789013125912,0.9268997399595492
32,0.989084917965264,0.9394285714285714
64,0.9946743138058174,0.9387521465369205
128,0.9946743138058174,0.9387521465369205
256,0.9946743138058174,0.9387521465369205
512,0.9946743138058174,0.9387521465369205
1024,0.9946743138058174,0.9387521465369205
2048,0.9946743138058174,0.9387521465369205
2100,0.9946743138058174,0.9387521465369205
2200,0.9946743138058174,0.9387521465369205
2300,0.9946743138058174,0.9387521465369205
2400,0.9946743138058174,0.9387521465369205
2500,0.9946743138058174,0.9387521465369205
2600,0.9946743138058174,0.9387521465369205
2700,0.9946743138058174,0.9387521465369205
2800,0.9946743138058174,0.9387521465369205
2900,0.9946743138058174,0.9387521465369205
3000,0.9946743138058174,0.9387521465369205
