param_MLP__max_iter,train acc,test acc
1,0.5582451140065148,0.554712067610063
2,0.5231520035646242,0.5230935534591196
4,0.5718206471636655,0.5933569182389937
8,0.6333476737754288,0.6411654874213836
16,0.6493850255055007,0.6490516902515724
32,0.6820946776473481,0.679466391509434
64,0.7015748878372565,0.6828812893081762
128,0.7260978120582633,0.6845887382075472
256,0.7401930582017087,0.6811738404088051
512,0.7401930582017087,0.6811738404088051
1024,0.7401930582017087,0.6811738404088051
2048,0.7401930582017087,0.6811738404088051
2100,0.7401930582017087,0.6811738404088051
2200,0.7401930582017087,0.6811738404088051
2300,0.7401930582017087,0.6811738404088051
2400,0.7401930582017087,0.6811738404088051
2500,0.7401930582017087,0.6811738404088051
2600,0.7401930582017087,0.6811738404088051
2700,0.7401930582017087,0.6811738404088051
2800,0.7401930582017087,0.6811738404088051
2900,0.7401930582017087,0.6811738404088051
3000,0.7401930582017087,0.6811738404088051
