param_SVM__max_iter,train acc,test acc
1,0.5774097797219184,0.4971600400935517
2,0.5927714479740435,0.47615915817165405
4,0.6036688762139664,0.48517520215633425
8,0.6036688762139664,0.48517520215633425
16,0.6036688762139664,0.48517520215633425
32,0.6036688762139664,0.48517520215633425
64,0.6036688762139664,0.48517520215633425
128,0.6036688762139664,0.48517520215633425
256,0.6036688762139664,0.48517520215633425
512,0.6036688762139664,0.48517520215633425
1024,0.6036688762139664,0.48517520215633425
2048,0.6036688762139664,0.48517520215633425
