param_MLP__max_iter,train acc,test acc
1,0.6833999139573474,0.6821319772012578
2,0.6447464046463033,0.6318912146226415
4,0.6934089023415894,0.6716538915094339
8,0.6606001475016902,0.6302697523584906
16,0.664997541638498,0.642958922955975
32,0.6966846690430829,0.6557217963836479
64,0.6966846690430829,0.6557217963836479
128,0.6966846690430829,0.6557217963836479
256,0.6966846690430829,0.6557217963836479
512,0.6966846690430829,0.6557217963836479
1024,0.6966846690430829,0.6557217963836479
2048,0.6966846690430829,0.6557217963836479
2100,0.6966846690430829,0.6557217963836479
2200,0.6966846690430829,0.6557217963836479
2300,0.6966846690430829,0.6557217963836479
2400,0.6966846690430829,0.6557217963836479
2500,0.6966846690430829,0.6557217963836479
2600,0.6966846690430829,0.6557217963836479
2700,0.6966846690430829,0.6557217963836479
2800,0.6966846690430829,0.6557217963836479
2900,0.6966846690430829,0.6557217963836479
3000,0.6966846690430829,0.6557217963836479
