param_Boost__n_estimators,train acc,test acc
1,0.9426235236564399,0.8878585917125471
2,0.9426235236564399,0.8878585917125471
5,0.9838720746688628,0.912565141864505
10,0.986970237278837,0.9193548387096774
20,0.986970237278837,0.9193548387096774
30,0.986970237278837,0.9193548387096774
40,0.986970237278837,0.9193548387096774
50,0.986970237278837,0.9193548387096774
60,0.986970237278837,0.9193548387096774
70,0.986970237278837,0.9193548387096774
80,0.986970237278837,0.9193548387096774
90,0.986970237278837,0.9193548387096774
100,0.986970237278837,0.9193548387096774
