mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__base_estimator__max_depth,param_Boost__learning_rate,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.011819028854370117,0.00023074847248484906,0.001064443588256836,6.855760962123572e-05,1,0.01,1,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 1}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.010230779647827148,0.000737266379295328,0.0007356643676757812,3.9632196411281244e-05,1,0.01,2,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 2}",0.5,0.7038704732707415,0.5,0.49999999999999983,0.5,0.5407949083829151,0.08156379545540414,859,0.5,0.7135868573020862,0.5,0.5000000000000001,0.5,0.5427173714604172,0.08543474292083444
0.023831605911254883,0.0012293267465328895,0.0010372161865234374,0.000120572648186922,1,0.01,5,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 5}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.04396443367004395,0.003939930544238653,0.0012207508087158203,9.216108955501054e-05,1,0.01,10,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 10}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.08520455360412597,0.005615072766746824,0.0018836021423339843,0.00017054696747243107,1,0.01,20,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 20}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.1269618034362793,0.0063428210513205505,0.00256495475769043,0.00013922488804717157,1,0.01,30,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 30}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.19963483810424804,0.005302378598064376,0.0037040233612060545,0.00021440283829578512,1,0.01,45,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 45}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.25728745460510255,0.007155886039885581,0.004638004302978516,0.0006960572071650818,1,0.01,60,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 60}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.32802233695983884,0.014383039393576455,0.005618619918823242,0.00022593047755165973,1,0.01,80,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 80}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7263361794807548,0.6694437484339767,0.7114506989219412,0.023591665068510518,554,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7114166622691926,0.7255940187956038,0.7144336429438116,0.0058273321457675935
0.38384342193603516,0.013568929239848062,0.006871509552001953,0.0002495266296281887,1,0.01,90,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 90}",0.7204349492239893,0.7038704732707415,0.7371335504885994,0.7224283483992829,0.6694437484339767,0.7106697311483852,0.023146457157844275,606,0.7128824238755489,0.7135868573020862,0.7086882524766269,0.7176452845485555,0.7255940187956038,0.7156793673996842,0.005713883477845575
0.4085991382598877,0.010392748913758005,0.006600570678710937,8.050367051324716e-05,1,0.01,100,"{'Boost__base_estimator__max_depth': 1, 'Boost__learning_rate': 0.01, 'Boost__n_estimators': 100}",0.7246407357731366,0.7038704732707415,0.7371335504885994,0.7224283483992829,0.6694437484339767,0.7115113178391793,0.023558996156800564,553,0.7128451903952034,0.7135868573020862,0.7086882524766269,0.7176452845485555,0.7255940187956038,0.7156719207036152,0.005717546868038716
