param_SVM__max_iter,train acc,test acc
1,0.42487593707105903,0.3960052105948762
2,0.43744050766790066,0.35294117647058826
4,0.38599562363238515,0.37709251101321584
8,0.44799327589829796,0.34720357941834457
16,0.3220743773456159,0.3367666815942678
32,0.27304714989444057,0.3510971786833856
64,0.35166796831418057,0.2803738317757009
128,0.2872748402091807,0.26340545625587963
256,0.2657243816254417,0.23076923076923078
512,0.2533507294508362,0.1994134897360704
1024,0.21259555879140882,0.18879056047197637
2048,0.2169228906911996,0.17071960297766747
