mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_Boost__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.8646804332733155,0.04067012984128576,0.010214424133300782,0.0012261359068690403,1,{'Boost__n_estimators': 1},0.8475217555807795,0.8594044477949492,0.9012875536480687,0.8730964467005077,0.885955262192886,0.8734530931834382,0.0189788688974145,12,0.9306471741843467,0.9267291387773315,0.9590079228384429,0.9478009967648859,0.9311979958844055,0.9390766456898824,0.012320390821951358
1.6503697395324708,0.07980380266272867,0.008453941345214844,0.0014059263674229608,2,{'Boost__n_estimators': 2},0.8475217555807795,0.8594044477949492,0.9012875536480687,0.8730964467005077,0.885955262192886,0.8734530931834382,0.0189788688974145,12,0.9306471741843467,0.9267291387773315,0.9590079228384429,0.9478009967648859,0.9311979958844055,0.9390766456898824,0.012320390821951358
4.06713342666626,0.05171232458687485,0.006526756286621094,0.0007352208230054817,5,{'Boost__n_estimators': 5},0.896399706098457,0.9028948332722609,0.9157667386609071,0.9163375224416518,0.8915216586449464,0.9045840918236446,0.010036529741691391,11,0.9871553348176058,0.9849746715892505,0.986245194361384,0.988110512359935,0.9871377122277483,0.9867246850711847,0.0010553697397721058
5.8824234962463375,1.4879019594399412,0.006751489639282226,0.0008097978541844042,10,{'Boost__n_estimators': 10},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.175696754455567,1.6050468905761035,0.0073855876922607425,0.001168488065846816,20,{'Boost__n_estimators': 20},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.296325635910034,1.5688442540188958,0.007351016998291016,0.001539194174285967,30,{'Boost__n_estimators': 30},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.348204708099365,1.605910724910235,0.00757303237915039,0.0012334275587415297,40,{'Boost__n_estimators': 40},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.437997341156006,1.5846316954465727,0.007404041290283203,0.0017391945790615638,50,{'Boost__n_estimators': 50},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.4717974185943605,1.6015057882767427,0.00758819580078125,0.001874828647879533,60,{'Boost__n_estimators': 60},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.496885776519775,1.538038019474927,0.008229207992553712,0.002215045694762778,70,{'Boost__n_estimators': 70},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.3920763492584225,1.4946289944912337,0.007390642166137695,0.001275613342352237,80,{'Boost__n_estimators': 80},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
6.246902418136597,1.4303934123519106,0.006849765777587891,0.001029210264269711,90,{'Boost__n_estimators': 90},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
5.905839347839356,0.9692689676136186,0.006926727294921875,0.0013684293535713792,100,{'Boost__n_estimators': 100},0.8951048951048952,0.9028948332722609,0.919407300325262,0.9163375224416518,0.898379970544919,0.9064249043377977,0.00971727918442938,1,0.9870708108570939,0.9849746715892505,0.9875866792226693,0.988110512359935,0.9872223651487865,0.986993007835547,0.0010708502573495505
