mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_KNN__metric,param_KNN__n_neighbors,param_KNN__weights,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.006158876419067383,0.0003401713441857532,0.12242732048034669,0.010389897904435981,manhattan,1,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 1, 'KNN__weights': 'uniform'}",0.7761640160950373,0.7681548189308297,0.7469342785974324,0.7805735982884566,0.7711822755045005,0.7685980832722186,0.011636195541154215,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0
0.0030414104461669923,0.00025254610407750695,0.1088949203491211,0.006700112568987462,manhattan,4,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 4, 'KNN__weights': 'uniform'}",0.6987832918183561,0.6791914159800729,0.6652998658746887,0.6665478094944394,0.659300734344583,0.6738301877451962,0.014060384227170774,8,0.7566557848817657,0.7701066799265899,0.7600626483333812,0.7599932598715298,0.7619511352679021,0.7617539016562337,0.004511292450584944
0.0029547691345214845,0.0005658635898652131,0.11009836196899414,0.004064667712934847,manhattan,7,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 7, 'KNN__weights': 'uniform'}",0.7447595324774863,0.696254071661238,0.6947595324774861,0.6561783243066128,0.6809600447159955,0.6945955799009218,0.028917214518485997,5,0.751250324291603,0.7671670365993101,0.7609910831819972,0.7677255184621954,0.7608642595693035,0.7615996444208818,0.005942083022613589
0.0030673980712890626,8.99289597027446e-05,0.1234736442565918,0.020544505920587593,manhattan,10,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 10, 'KNN__weights': 'uniform'}",0.6914543015903432,0.6555278789040047,0.652404675225139,0.6603319006225545,0.6503430796214559,0.6620157744806375,0.015103540356516173,17,0.6961982214407194,0.7120152441075014,0.7023825824181102,0.7204846536149636,0.7161920193041118,0.7094545441770812,0.008937077878631277
0.0028722286224365234,0.00010386833390758886,0.11463146209716797,0.0034015040909730196,manhattan,13,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 13, 'KNN__weights': 'uniform'}",0.7172925847863577,0.6725426326882545,0.6718624257520598,0.6669814775552685,0.6591369041882698,0.6775706087786884,0.020435847739641258,7,0.7073826785045112,0.7180374592833876,0.7063191221546415,0.7186871860803157,0.7052288165677635,0.7111310525181239,0.005947015715459617
0.0027309417724609374,0.0003159637072018725,0.11210117340087891,0.004627150774638862,manhattan,16,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 16, 'KNN__weights': 'uniform'}",0.6945296033722936,0.6505939835217475,0.6648016861467715,0.6466520825703987,0.6576720698494689,0.662855340839396,0.017012754808153927,15,0.6759834443131263,0.6850365848971394,0.6836655520644163,0.691406456131598,0.6749549059020499,0.682209388661666,0.006100645926400691
0.0025007247924804686,0.00035217687588603855,0.11301670074462891,0.007695573622854239,manhattan,19,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 19, 'KNN__weights': 'uniform'}",0.7086031806859552,0.6571565433991187,0.6743054224947307,0.6662490603858682,0.6624761482566544,0.673762867096902,0.018299611435162764,9,0.6916965735589441,0.6967050772054232,0.7000122510161138,0.6967041131574025,0.7057745031254048,0.6981785036126577,0.004635128217226684
0.0030039310455322265,0.00010048799794217851,0.11340861320495606,0.004524876614710771,manhattan,22,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 22, 'KNN__weights': 'uniform'}",0.6932170913968193,0.6519064954972217,0.6602318451810693,0.6479819979569414,0.6326735154096716,0.6572108028874284,0.020105318164883437,19,0.6654553774754258,0.6789831416409635,0.6817834596869505,0.6832586362393441,0.6753923546314996,0.6769745939348367,0.006353652027712357
0.0027611255645751953,0.00017224272991990143,0.12287864685058594,0.02846691418514021,manhattan,25,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 25, 'KNN__weights': 'uniform'}",0.7059781567350067,0.6582870281663153,0.6741233952864533,0.6530848254726981,0.6197261145269163,0.6622530915995186,0.02814506250745746,16,0.6670528138902501,0.6831004439191722,0.6920040500417977,0.6827432322873741,0.6718534873568622,0.6793508054990912,0.008867055003660017
0.0025214195251464845,0.0004439244745306687,0.10758914947509765,0.0027092784614439055,manhattan,28,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 28, 'KNN__weights': 'uniform'}",0.6830810500095803,0.6412722743820656,0.647154627323242,0.6445078349362988,0.6240965248732724,0.6480294660222987,0.019289524954636858,31,0.6574970213215724,0.6667267206672239,0.6621253831445235,0.6617780746739074,0.6469551889394732,0.6590164777493401,0.006701089340900658
0.00281982421875,0.0004289874020546113,0.11073074340820313,0.0021533242486753003,manhattan,31,uniform,"{'KNN__metric': 'manhattan', 'KNN__n_neighbors': 31, 'KNN__weights': 'uniform'}",0.6845755891933322,0.645525962828128,0.6538513125119755,0.6517549100861553,0.6461364994314129,0.6563726440649488,0.014462977679029886,20,0.6542126680310935,0.6739476136942338,0.6718120934344163,0.6756912829270868,0.6730749857281977,0.6697477287630056,0.00786937382375639
