param_SVM__max_iter,train acc,test acc
1,0.5000000000000001,0.5000000000000001
2,0.5000000000000001,0.5000000000000001
4,0.5000000000000001,0.5000000000000001
8,0.5000000000000001,0.5000000000000001
16,0.5000000000000001,0.5000000000000001
32,0.5001628664495115,0.5000000000000001
64,0.5000000000000001,0.5000000000000001
128,0.5002247096060477,0.5006510416666667
256,0.5001628664495115,0.5000000000000001
512,0.5037459283387623,0.5013020833333334
1024,0.8687523047139083,0.7841366941823901
2048,0.9063763751459653,0.8181751179245284
