,0,1,2,3,4
10.0,0.0,0.0,0.0,0.0,0.0
3.1622776601683795,0.0,0.0,0.0,0.0,0.0
1.0,0.0,0.0,0.0,0.0,0.0
0.31622776601683794,0.0,0.0,0.0,0.0,0.0
0.1,0.0,0.0,0.0,0.0,0.0
0.03162277660168379,0.9660628773683114,0.9826206896551725,0.9763736263736263,0.9647960962007668,0.9866830567506658
0.01,0.9817932922655714,0.9879040524841114,0.9878841809843247,0.9911891264257905,0.990803188228081
0.0031622776601683794,0.9762185398322125,0.9845480650895665,0.9861139612832615,0.9869811192147775,0.9887333560942302
0.001,0.9843449601757759,0.9469250210614996,0.9815005845540197,0.9939278160605853,0.9772961108443653
0.00031622776601683794,0.9860758625420124,0.9885858792973822,0.9828712939396023,0.9886843899113836,0.9916046686233021
0.0001,0.9898879475266465,0.9864892668541252,0.9837867546029129,0.9891976357089476,0.9862789268892074
3.1622776601683795e-05,0.9867817272789534,0.9746249049298209,0.9856184084372005,0.9906682106123561,0.9850787132101301
1e-05,0.986579019446727,0.9749222797927461,0.9845731916352417,0.9894205173708279,0.9855588255423996
3.162277660168379e-06,0.9856105248732355,0.9900854700854702,0.9846322722283205,0.9897694721047606,0.9863238512035011
1e-06,0.9851892484914977,0.9901531728665207,0.9844211104248164,0.9894205173708279,0.9863913013745469
3.162277660168379e-07,0.9849108367626885,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
1e-07,0.9852568058698485,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
3.162277660168379e-08,0.9852568058698485,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
1e-08,0.9852568058698485,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
3.1622776601683795e-09,0.9852568058698485,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
1e-09,0.9852568058698485,0.9900854700854702,0.9843535547625583,0.9901071160537627,0.9862564102564103
