mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_DT__class_weight,param_DT__criterion,param_DT__max_depth,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score
0.010785579681396484,0.0010412436237689793,0.001024007797241211,0.00015703761464810805,balanced,gini,1,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 1}",0.5,0.49999999999999994,0.5,0.7223464333211265,0.7096158664687857,0.5863263095292245,0.10587170634862275,196,0.5,0.5,0.5,0.7146913812705982,0.7178707550383061,0.5865124272617809,0.10596042161034876
0.005784749984741211,0.0003886889184097571,0.0005975246429443359,0.00011614576681029313,balanced,gini,2,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 2}",0.5,0.49999999999999994,0.5,0.7223464333211265,0.724057012894397,0.5892123273064714,0.10933342681000861,194,0.5,0.5,0.5,0.7146913812705982,0.7258233870464804,0.5881029536634157,0.10796104770511629
0.007156944274902344,0.0004099929129462432,0.0005918025970458984,8.086480593633773e-05,balanced,gini,3,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 3}",0.5,0.49999999999999994,0.5,0.7316028371528246,0.724057012894397,0.5910621905530818,0.11162463475598065,192,0.5,0.5,0.5,0.7253382657001817,0.7258233870464804,0.5902323305493324,0.11051169055271051
0.008855772018432618,0.0002520207489601238,0.0005029678344726562,4.131804293989977e-05,balanced,gini,4,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 4}",0.5,0.49999999999999994,0.5,0.7587456392267217,0.7370863288553089,0.5990904622277259,0.12163086121347622,185,0.5,0.5,0.5,0.7512673720215107,0.7543166205331656,0.6011167985109352,0.12384603426553555
0.013960599899291992,0.0006679741976320899,0.0005824089050292969,3.4436557598302336e-05,balanced,gini,5,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 5}",0.5,0.49999999999999994,0.5,0.7540234758976929,0.7210454291386389,0.5949410292607065,0.116818826621402,188,0.5,0.5,0.5,0.7583451065707857,0.7635036435071696,0.6043697500155911,0.1278367244879493
0.01776890754699707,0.0009201875855364094,0.0006724357604980469,0.000179465480153803,balanced,gini,6,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 6}",0.5,0.49999999999999994,0.5,0.74767264807355,0.7167039299963379,0.5928042012834921,0.11415455159697173,191,0.5,0.5,0.5,0.7689443183835205,0.7736738017682643,0.608523624030357,0.13292216617378783
0.02480597496032715,0.0018628530158976307,0.0005597114562988281,5.848998173310876e-05,balanced,gini,7,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 7}",0.5,0.7617359647442037,0.7331385322858784,0.7471570649345642,0.72158992348168,0.6927030366517366,0.09731807839006745,124,0.5,0.7752412969742393,0.8017899695406109,0.7715908981880807,0.7799069214643108,0.7257058172334483,0.11333920616673349
0.028595399856567384,0.0029934831429510133,0.0005128860473632812,2.484472603336088e-05,balanced,gini,8,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 8}",0.5,0.76793447020502,0.73051350833493,0.7499807258639632,0.7143428483318235,0.6925340923355339,0.09797187067871577,125,0.5,0.7810413123480633,0.8067258078464156,0.7969956057240721,0.7879420061116894,0.7345409464060481,0.11758796829877369
0.03673982620239258,0.0029485854712570396,0.0006663322448730469,0.00012274675774381978,balanced,gini,9,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 9}",0.7722839624449128,0.7865778884843839,0.711371910327649,0.7522068885762195,0.7155908486402097,0.7476132968519422,0.029959346933523232,1,0.8153405542263604,0.807589984914435,0.8100642097373959,0.8045107890027967,0.8051776059831234,0.8085366287728224,0.003924626344784695
0.040646028518676755,0.0033620449236166417,0.0005595684051513672,3.1527916152755444e-05,balanced,gini,10,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 10}",0.7730982946924698,0.7718720061314427,0.7143130867982372,0.7425168166836921,0.703539695083168,0.7410771885169006,0.028640592723473822,7,0.8168425047802985,0.8198734301884254,0.8389832137057642,0.7927287566022078,0.8060048308251739,0.814886547220374,0.015357061428702155
0.04650411605834961,0.00583817302703481,0.0005862236022949219,7.315347186185929e-05,balanced,gini,11,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 11}",0.7742287794596667,0.7736347959379192,0.7213259245066106,0.7425987317618488,0.7234354220072086,0.7470518913542782,0.02317438683181304,2,0.8188014662784776,0.8254242214599367,0.8399014393742853,0.8197189534331479,0.8441231356708706,0.8295938432433436,0.010475891098852982
0.05152959823608398,0.00204071726456664,0.0005459308624267579,4.024754195649334e-05,balanced,gini,12,"{'DT__class_weight': 'balanced', 'DT__criterion': 'gini', 'DT__max_depth': 12}",0.7792488982563708,0.7664399310212683,0.720329565050776,0.7353516566119923,0.7199612589865659,0.744274740701161,0.0243280902869436,3,0.8215020946835394,0.8288851335120541,0.832146666282321,0.8203297026188158,0.838106491631207,0.8281940177455874,0.00664811998496162
